Country,2000,2005,2010,2015,2020,2021,2022
Afghanistan,19542982,24411191,28189672,33753499,38972230,40099462,41128771
Albania,3089027,3011487,2913021,2880703,2837849,2811666,2777689
Algeria,30774621,32956690,35856344,39543154,43451666,44177969,44903225
American Samoa,58230,57254,54849,51368,46189,45035,44273
Andorra,66097,79826,71519,71746,77700,79034,79824
Angola,16394062,19450959,23364185,28127721,33428486,34503774,35588987
Antigua and Barbuda,75055,79869,85695,89941,92664,93219,93763
Argentina,37070774,39070501,40788453,43131966,45376763,45808747,46234830
Armenia,3168523,3047246,2946293,2878595,2805608,2790974,2780469
Aruba,89101,94483,100341,104257,106585,106537,106445
Australia,19028802,20176844,22031750,23815995,25649248,25685412,26005540
Austria,8011566,8227829,8363404,8642699,8916864,8955797,9041851
Azerbaijan,8048600,8391850,9054332,9649341,10093121,10137750,10141756
"Bahamas, The",325014,347804,373272,392697,406471,407906,409984
Bahrain,711442,901921,1213645,1362142,1477469,1463265,1472233
Bangladesh,129193327,140912590,148391139,157830000,167420951,169356251,171186372
Barbados,264657,269477,274711,278083,280693,281200,281635
Belarus,9979610,9663915,9483836,9461076,9379952,9302585,9228071
Belgium,10251250,10478617,10895586,11274196,11538604,11586195,11685814
Belize,240406,280375,322106,359871,394921,400031,405272
Benin,6998023,8149419,9445710,10932783,12643123,12996895,13352864
Bermuda,61833,64154,65124,65237,63893,63764,63532
Bhutan,587207,663323,705516,743274,772506,777486,782455
Bolivia,8592656,9377388,10223270,11090085,11936162,12079472,12224110
Bosnia and Herzegovina,4179350,4094297,3811088,3524324,3318407,3270943,3233526
Botswana,1726985,1892807,2091664,2305171,2546402,2588423,2630296
Brazil,175873720,186797334,196353492,205188205,213196304,214326223,215313498
British Virgin Islands,20104,23497,27556,29366,30910,31122,31305
Brunei Darussalam,333926,366717,396053,421437,441725,445373,449002
Bulgaria,8170172,7658972,7395599,7177991,6934015,6877743,6465097
Burkina Faso,11882888,13876127,16116845,18718019,21522626,22100683,22673762
Burundi,6307659,7388874,9126605,10727148,12220227,12551213,12889576
Cabo Verde,458251,492827,521212,552166,582640,587925,593149
Cambodia,12118841,13246583,14363532,15417523,16396860,16589023,16767842
Cameroon,15091594,17275171,19878036,23012646,26491087,27198628,27914536
Canada,30685730,32243753,34004889,35702908,38007166,38226498,38929902
Cayman Islands,39658,46727,54074,60911,67311,68136,68706
Central African Republic,3759170,4208834,4660067,4819333,5343020,5457154,5579144
Chad,8259137,10005012,11894727,14140274,16644701,17179740,17723315
Channel Islands,145306,150763,156933,162190,171113,172683,174079
Chile,15351799,16175311,17004162,17870124,19300315,19493184,19603733
China,1262645000,1303720000,1337705000,1379860000,1411100000,1412360000,1412175000
Colombia,39215135,42220940,44816108,47119728,50930662,51516562,51874024
Comoros,536758,592683,656024,730216,806166,821625,836774
Costa Rica,3979193,4315887,4622252,4895242,5123105,5153957,5180829
Croatia,4468302,4310145,4295427,4203604,4047680,3879000,3855600
Cuba,11105791,11246114,11290417,11339894,11300698,11256372,11212191
Curacao,133860,137658,148703,157980,154947,152369,149996
Cyprus,948237,1037062,1129686,1187280,1237537,1244188,1251488
Czech Republic,10255063,10211216,10474410,10546059,10697858,10505772,10672118
Democratic Republic of the Congo,48616317,56550247,66391257,78656904,92853164,95894118,99010212
Denmark,5339616,5419432,5547683,5683483,5831404,5856733,5903037
Djibouti,742033,830861,919199,1006259,1090156,1105557,1120849
Dominica,68346,68674,68755,70007,71995,72412,72737
Dominican Republic,8540791,9164768,9775755,10405832,10999664,11117873,11228821
East Timor,878360,969313,1088486,1205813,1299995,1320942,1341296
Ecuador,12626507,13770012,14989585,16195902,17588595,17797737,18001000
Egypt,71371371,79075310,87252413,97723799,107465134,109262178,110990103
El Salvador,5958482,6037817,6114034,6231066,6292731,6314167,6336392
Equatorial Guinea,684977,864726,1094524,1346973,1596049,1634466,1674908
Eritrea,2392880,2831732,3147727,3340006,3555868,3620312,3684032
Estonia,1396985,1354775,1331475,1315407,1329522,1330932,1348840
Ethiopia,67031867,77469940,89237791,102471895,117190911,120283026,123379924
Faroe Islands,45660,48291,48410,48816,52415,52889,53090
Fiji,832509,874923,905169,917200,920422,924610,929766
Finland,5176209,5246096,5363352,5479531,5529543,5541017,5556106
France,60921384,63188395,65030575,66548272,67571107,67764304,67971311
French Polynesia,250927,271060,283788,291787,301920,304032,306279
Gabon,1272935,1458353,1711105,2028517,2292573,2341179,2388992
Gambia,1437539,1660368,1937275,2253133,2573995,2639916,2705992
Georgia,4077131,3902469,3786695,3725276,3722716,3708610,3712502
Germany,82211508,82469422,81776930,81686611,83160871,83196078,83797985
Ghana,19665502,22496951,25574719,28870939,32180401,32833031,33475870
Gibraltar,27741,29155,31262,32520,32709,32669,32649
Greece,10805808,10987314,11121341,10820883,10698599,10569207,10426919
Greenland,56200,56935,56905,56114,56367,56653,56661
Grenada,107432,110254,114039,118980,123663,124610,125438
Guam,160188,164430,164905,167978,169231,170534,171774
Guatemala,11589761,12948292,14259687,15567419,16858333,17109746,17357886
Guinea,8336967,9140114,10270728,11625998,13205153,13531906,13859341
Guinea Bissau,1230849,1379713,1567220,1788919,2015828,2060721,2105566
Guyana,759051,759709,747932,755031,797202,804567,808726
Haiti,8360225,9111900,9842880,10563757,11306801,11447569,11584996
Honduras,6656725,7564613,8450933,9294505,10121763,10278345,10432860
Hong Kong,6665000,6813200,7024200,7291300,7481000,7413100,7346100
Hungary,10210971,10087065,10000023,9843028,9750149,9709891,9643048
Iceland,281205,296734,318041,330815,366463,372520,382003
India,1059633675,1154638713,1240613620,1322866505,1396387127,1407563842,1417173173
Indonesia,214072421,228805144,244016173,259091970,271857970,273753191,275501339
Iran,65544383,70182594,75373855,81790841,87290193,87923432,88550570
Iraq,24628858,28698684,31264875,37757813,42556984,43533592,44496122
Ireland,3805174,4159914,4560155,4701957,4985382,5033164,5127170
Isle of Man,75562,79415,83828,83593,84046,84263,84519
Israel,6289000,6930100,7623600,8380100,9215100,9371400,9557500
Italy,56942108,57969484,59277417,60730582,59438851,59133173,58940425
Ivory Coast,16799670,18970215,21120042,23596741,26811790,27478249,28160542
Jamaica,2612205,2676863,2733896,2794445,2820436,2827695,2827377
Japan,126843000,127773000,128070000,127141000,126261000,125681593,125124989
Jordan,5056174,5678534,6931258,9494246,10928721,11148278,11285869
Kazakhstan,14883626,15147029,16321872,17542806,18755666,19000988,19621972
Kenya,30851606,35843010,41517895,46851488,51985780,53005614,54027487
Kiribati,88826,98164,107995,116707,126463,128874,131232
Kosovo,1700000,1705780,1775680,1788196,1790133,1786038,1761985
Kuwait,1934901,2235403,2943356,3908743,4360444,4250114,4268873
Kyrgyzstan,4898400,5162600,5447900,5956900,6579900,6773400,6974900
Laos,5430853,5852970,6323418,6787419,7319399,7425057,7529475
Latvia,2367550,2238799,2097555,1977527,1900449,1884490,1879383
Lebanon,4320642,4643044,4995800,6398940,5662923,5592631,5489739
Lesotho,1998630,1977424,2022747,2118521,2254100,2281454,2305825
Liberia,2895224,3266318,4019956,4612329,5087584,5193416,5302681
Libya,5154790,5837986,6491988,6192235,6653942,6735277,6812341
Liechtenstein,33026,34603,35926,37355,38756,39039,39327
Lithuania,3499536,3322528,3097282,2904910,2794885,2800839,2831639
Luxembourg,436300,465158,506953,569604,630419,640064,653103
Macedonia,2026350,2036855,2055004,2070226,2072531,2065092,2057679
Madagascar,16216431,18792171,21731053,24850912,28225177,28915653,29611714
Malawi,11229387,12755648,14718422,16938942,19377061,19889742,20405317
Malaysia,22945150,25923536,28717731,31068833,33199993,33573874,33938221
Maldives,282507,307018,361575,435582,514438,521457,523787
Mali,11239101,13180551,15529181,18112907,21224040,21904983,22593590
Malta,390087,403834,414508,445053,515332,518536,531113
Marshall Islands,54224,54337,53416,49410,43413,42050,41569
Mauritania,2695003,3012360,3419461,3946220,4498604,4614974,4736139
Mauritius,1186873,1228254,1250400,1262879,1266014,1266334,1262523
Mexico,97873442,105442402,112532401,120149897,125998302,126705138,127504125
Micronesia,111709,110940,107588,109462,112106,113131,114164
Moldova,2924668,2888985,2862354,2835978,2635130,2595809,2538894
Monaco,32465,32141,33178,36760,36922,36686,36469
Mongolia,2450979,2559255,2702520,2964749,3294335,3347782,3398366
Montenegro,604950,614261,619428,622159,621306,619211,617213
Morocco,28554415,30431902,32464865,34680458,36688772,37076584,37457971
Mozambique,17768505,20211114,23073723,26843246,31178239,32077072,32969518
Myanmar,45538332,47724471,49390988,51483949,53423198,53798084,54179306
Namibia,1819141,1962865,2099271,2282704,2489098,2530151,2567012
Nauru,10377,10318,10241,11185,12315,12511,12668
Nepal,24559500,26285110,27161567,27610325,29348627,30034989,30547580
Netherlands,15925513,16319868,16615394,16939923,17441500,17533044,17700982
New Caledonia,213230,232250,249750,269460,271080,270390,269220
