Country_Name,Country_Code,Series Name,Series_Code,Year,Growth_Value,continent
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2000,1.443803024,Asia
Afghanistan,AFG,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,1.325806085,Asia
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,2000,1.8613773,Asia
Albania,ALB,Population growth (annual %),SP.POP.GROW,2000,-0.637356834,Europe
Albania,ALB,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,-1.614394032,Europe
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,2000,0.742478629,Europe
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2000,1.402290858,Africa
Algeria,DZA,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,-0.576456855,Africa
Algeria,DZA,Urban population growth (annual %),SP.URB.GROW,2000,2.748112305,Africa
Angola,AGO,Population growth (annual %),SP.POP.GROW,2000,3.244121467,Africa
Angola,AGO,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,0.88794687,Africa
Angola,AGO,Urban population growth (annual %),SP.URB.GROW,2000,5.648669553,Africa
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2000,1.133277022,South America
Argentina,ARG,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,-0.601445456,South America
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,2000,1.346646898,South America
Armenia,ARM,Population growth (annual %),SP.POP.GROW,2000,-1.176786289,Asia
Armenia,ARM,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,-0.378358783,Asia
Armenia,ARM,Urban population growth (annual %),SP.URB.GROW,2000,-1.610374905,Asia
Australia,AUS,Population growth (annual %),SP.POP.GROW,2000,1.144472851,Oceania
Australia,AUS,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,2.004495212,Oceania
Australia,AUS,Urban population growth (annual %),SP.URB.GROW,2000,0.984333804,Oceania
Austria,AUT,Population growth (annual %),SP.POP.GROW,2000,0.240466652,Europe
Austria,AUT,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,0.941656372,Europe
Austria,AUT,Urban population growth (annual %),SP.URB.GROW,2000,-0.220175992,Europe
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,2000,0.821519964,Asia
Azerbaijan,AZE,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,0.408911483,Asia
Azerbaijan,AZE,Urban population growth (annual %),SP.URB.GROW,2000,1.213443781,Asia
Bahamas,BHS,Population growth (annual %),SP.POP.GROW,2000,1.469762358,North America
Bahamas,BHS,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,0.457611795,North America
Bahamas,BHS,Urban population growth (annual %),SP.URB.GROW,2000,1.693214596,North America
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,2000,1.905524049,Asia
Bangladesh,BGD,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,1.399021566,Asia
Bangladesh,BGD,Urban population growth (annual %),SP.URB.GROW,2000,3.563966632,Asia
Belarus,BLR,Population growth (annual %),SP.POP.GROW,2000,-0.471131335,Europe
Belarus,BLR,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,-2.093120675,Europe
Belarus,BLR,Urban population growth (annual %),SP.URB.GROW,2000,0.233049858,Europe
Belgium,BEL,Population growth (annual %),SP.POP.GROW,2000,0.242517956,Europe
Belgium,BEL,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,-1.962186434,Europe
Belgium,BEL,Urban population growth (annual %),SP.URB.GROW,2000,0.308431312,Europe
Belize,BLZ,Population growth (annual %),SP.POP.GROW,2000,3.2437287,North America
Belize,BLZ,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,3.580631816,North America
Belize,BLZ,Urban population growth (annual %),SP.URB.GROW,2000,2.840022864,North America
Benin,BEN,Population growth (annual %),SP.POP.GROW,2000,3.038456621,Africa
Benin,BEN,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,2.524109826,Africa
Benin,BEN,Urban population growth (annual %),SP.URB.GROW,2000,3.871487515,Africa
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,2000,2.800570184,Asia
Bhutan,BTN,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,1.422325715,Asia
Bhutan,BTN,Urban population growth (annual %),SP.URB.GROW,2000,6.957880564,Asia
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,2000,1.803790492,South America
Bolivia,BOL,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,0.444444294,South America
Bolivia,BOL,Urban population growth (annual %),SP.URB.GROW,2000,2.653839287,South America
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,2000,0.632139635,Europe
Bosnia and Herzegovina,BIH,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,0.08687421,Europe
Bosnia and Herzegovina,BIH,Urban population growth (annual %),SP.URB.GROW,2000,1.378163167,Europe
Botswana,BWA,Population growth (annual %),SP.POP.GROW,2000,2.07271158,Africa
Botswana,BWA,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,0.278391509,Africa
Botswana,BWA,Urban population growth (annual %),SP.URB.GROW,2000,3.677005808,Africa
Brazil,BRA,Population growth (annual %),SP.POP.GROW,2000,1.36677133,South America
Brazil,BRA,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,-2.266954871,South America
Brazil,BRA,Urban population growth (annual %),SP.URB.GROW,2000,2.227693974,South America
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,2000,2.082163543,Asia
Brunei Darussalam,BRN,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,0.37977956,Asia
Brunei Darussalam,BRN,Urban population growth (annual %),SP.URB.GROW,2000,2.780315365,Asia
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,2000,-0.493896417,Europe
Bulgaria,BGR,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,-1.205181443,Europe
Bulgaria,BGR,Urban population growth (annual %),SP.URB.GROW,2000,-0.171157651,Europe
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2000,2.983885587,Africa
Burkina Faso,BFA,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,2.162009463,Africa
Burkina Faso,BFA,Urban population growth (annual %),SP.URB.GROW,2000,6.857564848,Africa
Burundi,BDI,Population growth (annual %),SP.POP.GROW,2000,2.041721204,Africa
Burundi,BDI,Rural population growth (annual %),SP.RUR.TOTL.ZG,2000,1.813097622,Africa
