Country,HE_2000,LE_2000,HE_2005,LE_2005,HE_2010,LE_2010,HE_2015,LE_2015,HE_2020,LE_2020,HE_2021,LE_2021,HE_2022,LE_2022
Afghanistan,58.67066119,55.298,25.10707283,58.361,46.57987976,60.851,60.05854034,62.659,80.28805103,62.575,81.319762,61.982,58.67066119,60.28766667
Albania,65.1499939,75.404,154.8753204,76.621,255.4131012,77.936,256.1264038,78.644,182.8912048,76.989,182.8912048,76.463,182.8912048,77.0095
Algeria,62.11769485,70.478,101.3037338,72.061,230.0639191,73.808,292.9165955,75.622,214.8517914,74.453,180.2507469,76.377,180.2507469,73.79983333
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,1286.859741,0.0,2214.391602,0.0,3796.64502,0.0,2729.944092,0.0,3336.917725,0.0,2672.951636,0.0,2672.951636,0.0
Angola,13.00008678,46.024,54.21235657,51.57,96.66415405,56.726,107.6435623,60.655,50.74262238,62.261,64.45255642,61.643,64.45255642,56.47983333
Antigua and Barbuda,519.1311646,74.606,639.2401733,75.825,720.9244385,76.82,784.6453857,77.913,830.3395386,78.841,698.8561401,78.497,698.8561401,77.08366667
Argentina,704.9459229,73.926,390.8044739,75.139,980.1362915,75.721,1525.053101,76.76,863.7144165,75.892,892.9308411,75.39,892.9308411,75.47133333
Armenia,25.31324768,70.624,94.26863098,71.792,290.270813,73.16,370.9266052,74.436,551.543396,72.173,266.4645386,72.043,266.4645386,72.37133333
Aruba,0.0,73.569,0.0,73.811,0.0,75.404,0.0,75.683,0.0,75.723,0.0,74.626,0.0,74.80266667
Australia,1636.528687,79.23414634,3014.10498,80.84146341,4975.471191,81.69512195,5324.34082,82.4,5901.106445,83.2,4170.310425,83.3,4170.310425,81.77845528
Austria,2269.126465,78.12682927,3710.397949,79.33170732,4800.793457,80.5804878,4612.824219,81.1902439,5585.088379,81.19268293,6491.12207,81.23902439,4578.225423,80.27682927
Azerbaijan,18.98356628,64.891,34.5994606,67.562,142.6126251,69.529,220.9816589,71.451,191.2273102,66.868,121.6809242,69.366,121.6809242,68.27783333
"Bahamas, The",945.4403076,72.041,1140.251587,72.765,1421.712036,72.731,1557.938477,73.104,1850.996216,72.677,1383.267725,71.598,1383.267725,72.486
Bahrain,424.9359741,75.496,576.9389038,76.931,866.3862305,78.748,1134.46167,79.405,1109.99743,79.174,822.5440417,78.76,822.5440417,78.08566667
Bangladesh,8.6186285,65.779,11.61940002,67.299,21.15062714,68.638,33.53680038,70.491,50.66413116,71.968,25.11791744,72.381,25.11791744,69.426
Barbados,616.3776245,74.089,959.4101563,74.89,1117.034302,75.712,1148.700073,76.65,1199.712036,77.393,1008.246838,77.571,1008.246838,76.05083333
Belarus,55.50430298,68.91219512,190.860733,68.85121951,332.7008972,70.40487805,352.9858398,73.62439024,408.0947266,72.45721951,268.0292999,72.37068293,268.0292999,71.10343089
Belgium,1849.916016,77.72195122,3405.88501,78.9804878,4531.033691,80.18292683,4432.703613,80.99268293,5009.455078,80.69512195,3845.798682,81.8902439,3845.798682,80.07723577
Belize,136.5213165,68.564,176.5420075,69.376,242.6184082,72.272,283.9475708,73.187,277.990387,72.854,223.523938,70.47,223.523938,71.1205
Benin,15.60655975,56.578,23.65154839,57.125,30.25543213,58.363,27.91026306,59.377,32.12714767,60.088,25.9101902,59.821,25.9101902,58.55866667
Bermuda,0.0,78.858,0.0,77.927,0.0,80.499,0.0,80.918,0.0,81.136,0.0,79.28,0.0,79.76966667
Bhutan,31.09416771,62.01,46.69151688,65.805,71.98933411,68.43,96.52057648,70.343,133.7031403,71.609,75.99974709,71.815,75.99974709,68.33533333
