Country_Name,Country_Code,Series_Name,Series_Code,Year,Value,continent
Afghanistan,AFG,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,0,Asia
Afghanistan,AFG,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,0,Asia
Afghanistan,AFG,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,0,Asia
Afghanistan,AFG,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,0,Asia
Albania,ALB,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,46.5300827,Europe
Albania,ALB,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,51.81430054,Europe
Albania,ALB,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,1.65561604,Europe
Albania,ALB,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,51.81430054,Europe
Algeria,DZA,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,71.96343231,Africa
Algeria,DZA,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,27.98437881,Africa
Algeria,DZA,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,0.052187,Africa
Algeria,DZA,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,25.7945137,Africa
American Samoa,ASM,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,0,Oceania
American Samoa,ASM,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,0,Oceania
American Samoa,ASM,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,0,Oceania
American Samoa,ASM,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,0,Oceania
Andorra,AND,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,65.53133392,Europe
Andorra,AND,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,34.46866608,Europe
Andorra,AND,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,0,Europe
Andorra,AND,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,15.39788818,Europe
Angola,AGO,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,58.20957184,Africa
Angola,AGO,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,41.27677536,Africa
Angola,AGO,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,0.51365387,Africa
Angola,AGO,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,27.3046875,Africa
Antigua and Barbuda,ATG,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,57.84612274,North America
Antigua and Barbuda,ATG,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,41.80508804,North America
Antigua and Barbuda,ATG,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,0.34878898,North America
Antigua and Barbuda,ATG,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,22.22428131,North America
Argentina,ARG,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,54.7317009,South America
Argentina,ARG,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,45.2376709,South America
Argentina,ARG,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,0.03062808,South America
Argentina,ARG,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,29.10433197,South America
Armenia,ARM,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,22.7532177,Asia
Armenia,ARM,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,64.4651413,Asia
Armenia,ARM,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,12.77933121,Asia
Armenia,ARM,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,62.010952,Asia
Aruba,ABW,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,0,North America
Aruba,ABW,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,0,North America
Aruba,ABW,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,0,North America
Aruba,ABW,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,0,North America
Australia,AUS,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,71.8363266,Oceania
Australia,AUS,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,28.16367722,Oceania
Australia,AUS,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,0,Oceania
Australia,AUS,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,20.99713898,Oceania
Austria,AUT,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,74.16340637,Europe
Austria,AUT,Domestic private health expenditure,SH.XPD.PVTD.CH.ZS,2000,25.83659172,Europe
Austria,AUT,External health expenditure,SH.XPD.EHEX.CH.ZS,2000,0,Europe
Austria,AUT,Out-of-pocket expenditure,SH.XPD.OOPC.CH.ZS,2000,17.82221985,Europe
Azerbaijan,AZE,Domestic government health expenditure,SH.XPD.GHED.CH.ZS,2000,29.3969841,Asia
